Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-1.7457627118644075; MSE:2.0; MAE:1.1111111111111112,0.3333333333333333,0.2777777777777778,R2:-0.5853576271186443; MSE:1.1547666666666663; MAE:0.9327777777777777,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3333333333333333,
Time,0.0004205809999257326,0.0004410719987936318,0.0022904659993946553,0.002282910000067204,0.0005553170014172792,0.00014210500055924057,0.00043808399932458996,0.00044636799953877925,
Number of Turns,0.0,0.0,0.0,0.0,,,,,
Player 1 Turn Taking,0.0,0.0,0.13846153846153847,0.13846153846153847,,,,,
Player 2 Turn Taking,0.0,0.0,0.020512820512820513,0.015384615384615385,,,,,
Player 3 Turn Taking,0.0,0.0,0.03076923076923077,0.03076923076923077,,,,,
Player 4 Turn Taking,0.0,0.0,0.1076923076923077,0.12307692307692308,,,,,
Player 1 SA Average,0.0,0.0,0.11794871794871795,0.1076923076923077,,,,,
Player 2 SA Average,0.0,0.0,0.09230769230769231,0.09230769230769231,,,,,
Player 3 SA Average,0.0,0.0,0.03076923076923077,0.03076923076923077,,,,,
Player 4 SA Average,0.0,0.0,0.046153846153846156,0.046153846153846156,,,,,
SA 3 Turn Taking,0.0,0.0,0.03076923076923077,0.03076923076923077,,,,,
SA 4 Turn Taking,0.0,0.0,0.03076923076923077,0.03076923076923077,,,,,
SA 5 Turn Taking,0.0,0.0,0.15384615384615385,0.15384615384615385,,,,,
SA 6 Turn Taking,0.0,0.0,0.046153846153846156,0.046153846153846156,,,,,
Positive Sentiment Rating,1.0,1.0,0.06153846153846154,0.06153846153846154,,,,,
Negative Sentiment Rating,0.0,0.0,0.0,0.0,,,,,
Neutral Sentiment Rating,0.0,0.0,0.07692307692307693,0.07692307692307693,,,,,
Compound Sentiment Rating,0.0,0.0,0.015384615384615385,0.015384615384615385,,,,,
